Year,Player,Pos,Team,次數
1984,Kareem Abdul-Jabbar,C,Los Angeles Lakers,1
1984,Moses Malone,C,Philadelphia 76ers,1
1984,Julius Erving,F,Philadelphia 76ers,1
1984,Sidney Moncrief,G,Milwaukee Bucks,1
1984,Adrian Dantley,F,Utah Jazz,1
1984,Bernard King,F,New York Knicks,1
1984,Isiah Thomas,G,Detroit Pistons,1
1984,Larry Bird,F,Boston Celtics,1
1984,Magic Johnson,G,Los Angeles Lakers,1
1985,Moses Malone,C,Philadelphia 76ers,1
1985,Terry Cummings,F,Milwaukee Bucks,1
1985,Kareem Abdul-Jabbar,C,Los Angeles Lakers,1
1985,Michael Jordan,G,Chicago Bulls,1
1985,Isiah Thomas,G,Detroit Pistons,1
1985,Ralph Sampson,F,Houston Rockets,1
1985,Larry Bird,F,Boston Celtics,1
1985,Sidney Moncrief,G,Milwaukee Bucks,1
1985,Magic Johnson,G,Los Angeles Lakers,1
1985,Bernard King,F,New York Knicks,1
1986,Alvin Robertson,G,San Antonio Spurs,1
1986,Hakeem Olajuwon,C,Houston Rockets,1
1986,Sidney Moncrief,G,Milwaukee Bucks,1
1986,Samuel Fedor,F,Denver Nuggets,1
1986,Charles Barkley,F,Philadelphia 76ers,1
1986,Magic Johnson,G,Los Angeles Lakers,1
1986,Dominique Wilkins,F,Atlanta Hawks,1
1986,Kareem Abdul-Jabbar,C,Los Angeles Lakers,1
1986,Larry Bird,F,Boston Celtics,1
1986,Isiah Thomas,G,Detroit Pistons,1
1987,Kevin McHale,F,Boston Celtics,1
1987,Larry Bird,F,Boston Celtics,1
1987,Hakeem Olajuwon,C,Houston Rockets,1
1987,Moses Malone,C,Washington Bullets,1
1987,Fat Lever,G,Denver Nuggets,1
1987,Dominique Wilkins,F,Atlanta Hawks,1
1987,Magic Johnson,G,Los Angeles Lakers,1
1987,Michael Jordan,G,Chicago Bulls,1
1987,Isiah Thomas,G,Detroit Pistons,1
1987,Charles Barkley,F,Philadelphia 76ers,1
1988,Charles Barkley,F,Philadelphia 76ers,1
1988,Hakeem Olajuwon,C,Houston Rockets,1
1988,Clyde Drexler,G,Portland Trail Blazers,1
1988,John Stockton,G,Utah Jazz,1
1988,Karl Malone,F,Utah Jazz,1
1988,Larry Bird,F,Boston Celtics,1
1988,Dominique Wilkins,F,Atlanta Hawks,1
1988,Patrick Ewing,C,New York Knicks,1
1988,Michael Jordan,G,Chicago Bulls,1
1988,Magic Johnson,G,Los Angeles Lakers,1
1989,Charles Barkley,F,Philadelphia 76ers,1
1989,Mark Price,G,Cleveland Cavaliers,1
1989,Hakeem Olajuwon,C,Houston Rockets,1
1989,Michael Jordan,G,Chicago Bulls,1
1989,Terry Cummings,F,Milwaukee Bucks,1
