Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,Pos,Final_Position,是否首次入選
Joel Embiid,PHI,28,68,45,23,33.8,30.6,19.6,49.9,3.7,37.1,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,55.5,46,2,5.4,2022,3,False,0.66,C-F,54.8,-5.4,,C-F,False
LeBron James,LAL,37,56,25,31,37.2,30.3,21.8,52.4,8.0,35.9,6.0,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,53.0,21,6,-2.1,2022,17,False,0.45,F,51.8,-6.9,,F,False
Giannis Antetokounmpo,MIL,27,67,45,22,32.9,29.9,18.6,55.3,3.6,29.3,11.4,72.2,2.0,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46,4,5.9,2022,5,False,0.67,F,50.9,-8.6,,F,False
Kevin Durant,BKN,33,55,36,19,37.2,29.9,20.3,51.8,5.5,38.3,7.4,91.0,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,50.3,18,4,4.9,2022,9,False,0.65,F,52.4,-6.3,,F,False
Luka Doncic,DAL,23,65,44,21,35.4,28.4,21.6,45.7,8.8,35.3,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,53.1,44,10,2.2,2022,2,False,0.68,F-G,59.2,0.9,,F-G,False
Trae Young,ATL,23,76,40,36,34.9,28.4,20.3,46.0,8.0,38.2,7.3,90.4,0.7,3.1,3.7,9.7,4.0,0.9,0.1,1.7,46.5,42,0,2.1,2022,0,False,0.53,G,61.4,4.1,,G,False
DeMar DeRozan,CHI,32,76,43,33,36.1,27.9,20.2,50.4,1.9,35.2,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9,0.3,2.3,42.7,6,0,1.0,2022,2,False,0.57,G-F,58.9,0.4,,G-F,False
Kyrie Irving,BKN,30,29,14,15,37.6,27.4,21.2,46.9,8.2,41.8,4.4,91.5,0.6,3.8,4.4,5.8,2.5,1.4,0.6,2.8,44.8,2,0,4.2,2022,3,False,0.48,G,54.0,-4.0,,G,False
Ja Morant,MEM,22,57,36,21,33.1,27.4,20.6,49.3,4.5,34.4,7.3,76.1,1.4,4.4,5.7,6.7,3.4,1.2,0.4,1.5,45.6,10,1,3.3,2022,0,False,0.63,G,50.9,-7.6,,G,False
Nikola Jokic,DEN,27,74,46,28,33.5,27.1,17.7,58.3,3.9,33.7,6.3,81.0,2.8,11.0,13.8,7.9,3.8,1.5,0.9,2.6,58.6,66,19,6.0,2022,3,False,0.62,C,57.2,-2.9,,C,False
Jayson Tatum,BOS,24,76,49,27,35.9,26.9,20.6,45.3,8.6,35.3,6.2,85.3,1.1,6.9,8.0,4.4,2.9,1.0,0.6,2.3,45.2,22,0,8.8,2022,1,False,0.64,F-G,53.1,-4.9,,F-G,False
Devin Booker,PHX,25,68,56,12,34.5,26.8,20.9,46.6,7.0,38.3,5.3,86.8,0.7,4.4,5.0,4.8,2.4,1.1,0.4,2.6,42.2,5,0,6.9,2022,0,False,0.82,G,55.1,-3.2,,G,False
Donovan Mitchell,UTA,25,67,41,26,33.8,25.9,20.5,44.8,9.8,35.5,4.7,85.3,0.8,3.4,4.2,5.3,3.0,1.5,0.2,2.4,40.9,3,0,4.1,2022,0,False,0.61,G,65.1,6.4,,G,False
Stephen Curry,GSW,34,64,45,19,34.5,25.5,19.1,43.7,11.7,38.0,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3,0.4,2.0,43.1,12,2,8.0,2022,7,False,0.7,G,55.6,-2.9,,G,False
Karl-Anthony Towns,MIN,26,74,44,30,33.5,24.6,16.4,52.9,4.9,41.0,6.3,82.2,2.6,7.2,9.8,3.6,3.1,1.0,1.1,3.6,45.0,40,1,3.7,2022,1,False,0.59,C-F,57.1,-3.0,,C-F,False
