"Task_ID","Coupon_Title"
"305931","50元優惠券"
"305933","熟客優惠券"
"305937","推播優惠"
"305939","15分未達優惠"
"305941","15分未達優惠"
"305942","邀請優惠"
"305944","15分未達優惠"
"305957","熟客優惠券"
"305966","註冊優惠"
"305968","註冊優惠"
"305969","15分未達優惠"
"305975","熟客優惠券"
"305978","優惠券"
"305979","推播優惠100元"
"305981","註冊優惠"
"305984","推播優惠"
"305987","嗨到集點-十點獎勵"
"305988","邀請優惠"
"306005","註冊優惠"
"306006","推播首用優惠200元"
"306008","邀請優惠"
"306011","熟客優惠券"
"306012","15分未達優惠"
"306013","15分未達優惠"
"306023","15分未達優惠"
"306030","邀請優惠"
"306036","邀請優惠"
"306037","15分未達優惠"
"306038","註冊優惠"
"306039","邀請優惠"
"306044","15分未達優惠"
"306046","信用卡綁定優惠"
"306050","註冊優惠"
"306055","邀請優惠"
"306059","推播首用優惠200元"
"306060","line首次優惠"
"306065","嗨到集點-六點獎勵"
"306068","邀請優惠"
"306070","嗨到集點-三點獎勵"
"306072","15分未達優惠"
"306073","50元優惠券"
"306074","註冊優惠"
"306075","15分未達優惠"
"306076","15分未達優惠"
"306081","熟客優惠券"
"306088","15分未達優惠"
"306089","花旗信用卡優惠"
"306090","註冊優惠"
"306091","註冊優惠"
"306097","台新卡友禮遇"
"306101","推播優惠100元"
"306112","推播優惠"
"306116","熟客優惠券"
"306117","推播優惠"
"306118","50元優惠券"
"306120","推播優惠"
"306121","推播優惠100元"
"306122","註冊優惠"
"306128","優惠券"
"306138","推播優惠"
"306140","推播優惠"
"306141","邀請優惠"
"306142","花旗信用卡優惠"
"306144","註冊優惠"
"306145","優惠券"
"306148","推播首用優惠200元"
"306152","嗨到集點-六點獎勵"
"306153","熟客優惠券"
"306160","50元優惠券"
"306162","邀請優惠"
"306165","嗨到集點-六點獎勵"
"306166","熟客優惠券"
"306169","推播優惠100元"
"306174","信用卡綁定優惠"
"306177","註冊優惠"
"306178","熟客優惠券"
"306179","熟客優惠券"
"306182","優惠券"
"306192","15分未達優惠"
"306193","推播優惠100元"
"306194","推播優惠100元"
"306202","邀請優惠"
"306205","註冊優惠"
"306206","15分未達優惠"
"306207","註冊優惠"
"306209","註冊優惠"
"306210","國泰世華信用卡優惠（限首用）"
"306213","註冊優惠"
"306215","註冊優惠"
"306216","註冊優惠"
"306220","註冊優惠"
"306223","50元優惠券"
"306230","優惠券"
"306231","註冊優惠"
"306234","台新信用卡首用優惠"
"306237","台新信用卡首用優惠"
"306239","嗨到集點-十點獎勵"
"306241","註冊優惠"
"306242","註冊優惠"
"306244","熟客優惠券"
"306246","邀請優惠"
"306254","熟客優惠券"
"306258","15分未達優惠"
"306260","註冊優惠"
"306261","註冊優惠"
"306265","註冊優惠"
"306266","註冊優惠"
"306267","嗨到集點-六點獎勵"
"306270","優惠券"
"306273","邀請優惠"
"306276","邀請優惠"
